#prob	ResponseTime1	        sigma(ResponseTime1)	ResponseTime2	        sigma(ResponseTime2)	ResponseTimeGlobal	sigma(ResponseTimeGlobal)
0.5	    0.043304590345067104	0.000906241686271978	0.483287247038259	    0.05892712693666893	    0.461076632474046	0.056011966745458004
1.0	    0.047582400987073704	0.0011297374559586255	0.231815514277381	    0.018966559800856465	0.213179088903372	0.01705581789058798
1.5	    0.0521619202112939	    0.0008893838472650915	0.166202737359601	    0.008455140168070157	0.148916950444125	0.0072383502543371435
2.0	    0.059092439196180103	0.0010304144121640135	0.12231444665281901	    0.003908301403855527	0.10955856094560498	0.003139130998404391
2.5	    0.06739458078126881	    0.0019006551724844911	0.09954781352920969	    0.0027423472977738035	0.09144529950462049	0.0018222776978744305
3.0	    0.077784745493407	    0.002682584584903655	0.0839589893248848	    0.0031695421748875866	0.0820982508075582	0.0019360290880391768
3.5	    0.0923153970330319	    0.0024189026965254832	0.0709246123990929	    0.0017564102595968348	0.0784455583613001	0.0013388971841362303
4.0	    0.109914306836942	    0.0027957717815547812	0.0625362535954881	    0.0013103792827782767	0.08157263030958331	0.0013071666794402968
4.5	    0.139779203685676	    0.005936668112563108	0.055288482736021397	0.0011001482052177584	0.0933908567874884	0.003089066202891475
5.0	    0.197285507378264	    0.010408203328875803	0.0496792142733353	    0.0008185956037663799	0.12368376120741802	0.005415358758820871
